Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29
KOG,BAC,2,8/20/2023,12:00:00 PM,RPL2023Winter,Thailand,Yena,WonderWoman,Tulen,Slimz,Rouie,11:41,TeeMee,Violet,Raz,Tachi,Riktor,Omen,Aoi,Kaine,Krizzix,1,Hayate,Elsu,Aya,Valhein,B,Moowan
KOG,BAC,2,8/20/2023,12:00:00 PM,RPL2023Winter,Thailand,Florentino,Tachi,Ignis,Capheny,Helen,17:36,Taara,TheJoker,Yue,Aoi,Aya,Valhein,Rouie,Murad,Eland'orr,2,Yan,Mganga,TeeMee,Zata,R,Kimsensei
KOG,BAC,2,8/20/2023,12:00:00 PM,RPL2023Winter,Thailand,Taara,Kriknak,Liliana,Violet,Baldum,18:21,Y'bneth,Elsu,Iggy,WonderWoman,Omen,Valhein,Rouie,Yan,Florentino,3,Keera,Aya,Aoi,Zata,R,Moowan
BHD,TFP,2,8/20/2023,3:00:00 PM,RPL2023Winter,Thailand,Skud,Kriknak,Liliana,TheJoker,Baldum,23:54,Thane,Hayate,Rouie,WonderWoman,Riktor,Helen,Aya,Omen,Taara,1,Kaine,Aya,Florentino,Valhein,B,Piper
BHD,TFP,1,8/20/2023,3:00:00 PM,RPL2023Winter,Thailand,Qi,Taara,Mganga,Capheny,Arum,13:12,Aya,Elsu,Yue,Aoi,Skud,Helen,Valhein,Murad,Iggy,2,Florentino,Eland'orr,Rouie,Omen,R,Bboss
BHD,TFP,1,8/20/2023,3:00:00 PM,RPL2023Winter,Thailand,Ryoma,Keera,Iggy,Elsu,Y'bneth,20:34,Cresht,Violet,Liliana,Zill,Omen,TheJoker,Helen,Nakroth,Kriknak,3,Florentino,Rouie,Valhein,Aya,B,Fakeplayz
BHD,TFP,1,8/20/2023,3:00:00 PM,RPL2023Winter,Thailand,Yan,Aoi,Tulen,Violet,Omen,16:08,Xeniel,TheJoker,Lorion,Keera,Mina,Florentino,Krizzix,Eland'orr,Taara,4,Zata,Yue,Aya,Valhein,B,Fakeplayz
TLN,BRU,1,8/20/2023,6:00:00 PM,RPL2023Winter,Thailand,Skud,Tachi,Rouie,Elsu,Toro,21:03,Krizzix,TheJoker,Zata,WonderWoman,Qi,Omen,Helen,Slimz,Florentino,1,Yue,Chaugnar,Aya,Valhein,B,Erez
TLN,BRU,2,8/20/2023,6:00:00 PM,RPL2023Winter,Thailand,Qi,Nakroth,Liliana,Capheny,Taara,14:20,Zip,Teeri,Iggy,Keera,Skud,Omen,Aoi,TeeMee,Kriknak,2,Kaine,Florentino,Aya,Valhein,B,Getsrch
TLN,BRU,2,8/20/2023,6:00:00 PM,RPL2023Winter,Thailand,Riktor,Yan,Zata,Hayate,Helen,11:04,Taara,Aya,Mganga,Kriknak,Kaine,Aoi,Valhein,Eland'orr,Nakroth,3,Yue,Iggy,Florentino,Omen,R,TheWorlds
