Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29
HKA,ONE,1,2/26/2022,2:00:00 PM,GCS2022Spring,Taiwan,Tachi,Keera,Liliana,Tel'Annas,Roxie,16:41,Xeniel,Laville,Lorion,Kriknak,Veres,Aya,Elsu,Aoi,Florentino,1,Eland'orr,Airi,Superman,Omen,R,DaDa
HKA,ONE,2,2/26/2022,2:00:00 PM,GCS2022Spring,Taiwan,Yena,Tulen,Krixi,Elsu,Arum,40:00,Payna,Slimz,Dirak,Skud,Airi,Omen,Aoi,Keera,Iggy,2,Kriknak,Nakroth,Yue,Aya,B,Nk
HKA,ONE,2,2/26/2022,2:00:00 PM,GCS2022Spring,Taiwan,Qi,Errol,Yue,Laville,Lumburr,30:17,Baldum,TheJoker,Krixi,Aoi,Florentino,Aya,Omen,Elsu,Hayate,3,Xeniel,Airi,Mina,Lorion,R,Zhe
HKA,ONE,1,2/26/2022,2:00:00 PM,GCS2022Spring,Taiwan,Airi,Sinestrea,Lorion,Capheny,Baldum,15:43,Ata,Hayate,Liliana,Nakroth,Omen,Aya,Yue,Keera,Roxie,4,Eland'orr,Kriknak,Mina,Aoi,R,EZ
HKA,ONE,2,2/26/2022,2:00:00 PM,GCS2022Spring,Taiwan,Riktor,Skud,Iggy,Slimz,Arthur,23:46,WonderWoman,Elsu,Ryoma,Tulen,Yena,Roxie,Yue,LuBu,Tachi,5,Omen,Payna,Aoi,Aya,B,Nk
MOP,MAD,2,2/26/2022,5:00:00 PM,GCS2022Spring,Taiwan,Omen,Skud,Liliana,Moren,Lumburr,14:14,Thane,TheJoker,Lorion,Eland'orr,Mina,Florentino,Hayate,Elsu,Baldum,1,Kriknak,Keera,Yue,Aya,B,BorBor
MOP,MAD,2,2/26/2022,5:00:00 PM,GCS2022Spring,Taiwan,Errol,Keera,Zata,Capheny,Tachi,16:10,Baldum,Slimz,Krixi,Kriknak,LuBu,Aya,Yue,Florentino,Elsu,2,Airi,TheJoker,Aoi,Lorion,R,Zen
MOP,MAD,1,2/26/2022,5:00:00 PM,GCS2022Spring,Taiwan,Amily,Ryoma,Iggy,Slimz,Roxie,26:40,Lumburr,Elsu,Raz,Tulen,Superman,Aya,Yue,Zata,Florentino,3,Eland'orr,Kriknak,Aoi,Lorion,R,Kevin
MOP,MAD,2,2/26/2022,5:00:00 PM,GCS2022Spring,Taiwan,Airi,Aoi,Lorion,Violet,Baldum,13:22,Tachi,Hayate,Iggy,Qi,Ryoma,Omen,Liliana,Yena,Keera,4,Elsu,Alice,Yue,Aya,B,03.22
FW,MOP,2,2/27/2022,2:00:00 PM,GCS2022Spring,Taiwan,Riktor,Aoi,Zata,Tel'Annas,Tachi,19:40,Roxie,Laville,Lorion,Kriknak,Yena,Aya,Yue,LuBu,Airi,1,Superman,Eland'orr,Hayate,Omen,R,YeQu
FW,MOP,1,2/27/2022,2:00:00 PM,GCS2022Spring,Taiwan,LuBu,Veres,Krixi,Hayate,Baldum,37:12,WonderWoman,Capheny,Dirak,Eland'orr,Amily,Omen,Yue,Airi,Florentino,2,Keera,Kriknak,Lorion,Aya,B,Junnn
FW,MOP,2,2/27/2022,2:00:00 PM,GCS2022Spring,Taiwan,Yena,Keera,Liliana,Capheny,WonderWoman,13:54,Lumburr,Yorn,Krixi,Tachi,LuBu,Aoi,Omen,Baldum,Riktor,3,Kriknak,Florentino,Yue,Aya,B,YeQu
FW,MOP,2,2/27/2022,2:00:00 PM,GCS2022Spring,Taiwan,Omen,Eland'orr,Raz,Laville,Lumburr,24:18,Baldum,Slimz,Iggy,Veres,Florentino,Aoi,Mina,Violet,Ryoma,4,TheJoker,Airi,Yue,Aya,B,YeQu
BRO,MAD,2,2/27/2022,5:00:00 PM,GCS2022Spring,Taiwan,LuBu,Kriknak,Krixi,Elsu,Thane,17:22,Amily,Slimz,Iggy,Qi,Veres,Omen,Yue,Florentino,Eland'orr,1,Aoi,Baldum,Lorion,Aya,B,03.22
BRO,MAD,1,2/27/2022,5:00:00 PM,GCS2022Spring,Taiwan,Amily,Butterfly,Liliana,Hayate,Roxie,20:31,Tachi,Wisp,Raz,Eland'orr,Yena,Omen,Lorion,Elsu,Capheny,2,Wukong,Ryoma,Yue,Aya,B,T1
BRO,MAD,1,2/27/2022,5:00:00 PM,GCS2022Spring,Taiwan,Ryoma,Tulen,Lorion,Capheny,Veres,14:49,Riktor,Hayate,Krixi,Aoi,LuBu,Omen,Elsu,Baldum,Roxie,3,Keera,Eland'orr,Yue,Aya,B,T1
BRO,MAD,1,2/27/2022,5:00:00 PM,GCS2022Spring,Taiwan,Superman,Wukong,Iggy,Slimz,Lumburr,13:03,Roxie,Laville,Yue,Batman,Ryoma,Aya,Lorion,Airi,Florentino,4,Keera,Volkath,Aoi,Omen,R,T1
