"Column1","Column2","Column3","Column4","Column5","Column6","Column7","Column8","Column9","Column10","Column11","Column12","Column13","Column14","Column15","Column16","Column17","Column18","Column19","Column20","Column21","Column22","Column23","Column24","Column25","Column26","Column27"
"KFC","Hertz","2","9-January-2022","4:00:00 PM","CoV2022Spring","Indonesia","Riktor","Kriknak","Lorion","Hayate","WonderWoman","11:08","Tachi","Laville","Liliana","Tulen","Veres","Zip","Aya","Aoi","Keera","1","Yena","Omen","LuBu","Florentino"
"KFC","Hertz","2","9-January-2022","4:00:00 PM","CoV2022Spring","Indonesia","Airi","Butterfly","Liliana","Laville","Tachi","12:42","Riktor","Yena","Krixi","Eland'orr","Florentino","Lorion","Aya","Omen","Rouie","2","Keera","Aoi","Tulen","LuBu"
"P7E","Hertz","2","9-January-2022","8:30:00 PM","CoV2022Spring","Indonesia","Roxie","Errol","Liliana","Hayate","Tachi","16:43","WonderWoman","Riktor","Tulen","Eland'orr","Veres","Zip","Florentino","Thorne","Laville","1","Aoi","Omen","Aya","LuBu"
"P7E","Hertz","2","9-January-2022","8:30:00 PM","CoV2022Spring","Indonesia","Riktor","Qi","Lorion","Slimz","Alice","20:07","Tachi","Thorne","Liliana","LuBu","Yena","Florentino","Zip","Hayate","Laville","2","Veres","Eland'orr","Tulen","Aya"
"AIW","NS","2","16-January-2022","5:30:00 PM","CoV2022Spring","Indonesia","Tachi","Errol","Tulen","Thorne","Mina","14:27","Krizzix","Hayate","Krixi","Kriknak","Florentino","Aya","Zata","Aoi","Keera","1","Liliana","LuBu","Annette","Zip"
"AIW","NS","2","16-January-2022","5:30:00 PM","CoV2022Spring","Indonesia","Qi","LuBu","Liliana","Slimz","WonderWoman","11:52","Zip","Thorne","Dirak","Aoi","Omen","Aya","Tulen","Lorion","Raz","2","Baldum","Roxie","Hayate","Annette"
"AIW","Æsir","1","16-January-2022","7:00:00 PM","CoV2022Spring","Indonesia","LuBu","Errol","Krixi","Slimz","Aya","09:35","Tachi","Hayate","Iggy","Veres","Omen","Florentino","Tulen","Liliana","Lorion","1","Mina","Mina","Zip","Annette"
"AIW","Æsir","1","16-January-2022","7:00:00 PM","CoV2022Spring","Indonesia","Riktor","Murad","Sephera","Capheny","Maloch","15:45","Arum","Violet","Liliana","Aoi","Florentino","Annette","Aya","Thorne","Slimz","2","Nakroth","Tulen","Hayate","Zip"
"AIW","Hertz","2","25-January-2022","4:00:00 PM","ASLB2022Spring","Indonesia","Tachi","Kriknak","Krixi","Hayate","Omen","13:38","Lumburr","Moren","Ilumia","Aoi","Mina","Aya","Tulen","Lorion","Liliana","1","Keera","Qi","Annette","Florentino"
"AIW","Hertz","1","25-January-2022","4:00:00 PM","ASLB2022Spring","Indonesia","Yena","Nakroth","Aya","TheJoker","Arthur","12:56","TeeMee","Airi","Liliana","Eland'orr","Florentino","Hayate","Omen","Tachi","Riktor","2","Keera","Aoi","Lumburr","Tulen"
"AIW","Hertz","2","25-January-2022","4:00:00 PM","ASLB2022Spring","Indonesia","Roxie","Errol","Lorion","Laville","Mina","10:11","Annette","Hayate","Krixi","Keera","Qi","Aya","Tulen","Omen","Yena","3","Aoi","Eland'orr","Lumburr","Florentino"
"NS","TP","1","25-January-2022","5:30:00 PM","ASLB2022Spring","Indonesia","Florentino","Tulen","Riktor","Slimz","Alice","14:08","Zip","Moren","Annette","Paine","Qi","Aya","Lumburr","Celica","Violet","1","WonderWoman","TeeMee","Hayate","Aoi"
"NS","TP","1","25-January-2022","5:30:00 PM","ASLB2022Spring","Indonesia","Superman","Paine","Krixi","Capheny","Baldum","11:06","Krizzix","TheJoker","Liliana","Errol","Tachi","Aya","Lumburr","Omen","Kriknak","2","Keera","Aoi","Hayate","Annette"
"TP","ENC","1","26-January-2022","4:00:00 PM","ASLB2022Spring","Indonesia","Florentino","Errol","Krixi","Hayate","Lumburr","27:18","Alice","Elsu","Annette","Veres","Yena","Aya","Zata","Paine","Aoi","1","Kriknak","Omen","Liliana","Tulen"
"TP","ENC","1","26-January-2022","4:00:00 PM","ASLB2022Spring","Indonesia","Yena","Kriknak","Aya","Slimz","Taara","15:25","Lumburr","Laville","Lorion","Qi","Omen","Hayate","Krixi","Capheny","Aoi","2","Keera","Mina","Annette","Tulen"
"Hertz","NS","1","26-January-2022","5:30:00 PM","ASLB2022Spring","Indonesia","Omen","Kriknak","Lorion","Laville","Tachi","21:56","Lumburr","Hayate","Dirak","Aoi","Roxie","Florentino","Tulen","Liliana","Mina","1","Qi","Eland'orr","Annette","Aya"
"Hertz","NS","1","26-January-2022","5:30:00 PM","ASLB2022Spring","Indonesia","Airi","Tulen","WonderWoman","Hayate","Annette","13:53","Alice","Violet","Krixi","Paine","Superman","Florentino","Lorion","Eland'orr","Keera","2","Yena","Aoi","Lumburr","Aya"
"FastONE","AIW","2","26-January-2022","7:00:00 PM","ASLB2022Spring","Indonesia","Riktor","Qi","Lorion","Slimz","Tachi","14:39","Lumburr","Laville","Liliana","Nakroth","Yena","Aya","Tulen","Kriknak","Omen","1","Aoi","Keera","Hayate","Florentino"
"FastONE","AIW","2","26-January-2022","7:00:00 PM","ASLB2022Spring","Indonesia","Amily","Airi","Liliana","Hayate","Baldum","15:56","WonderWoman","TheJoker","Krixi","Eland'orr","Qi","Aya","Florentino","Tachi","Omen","2","Aoi","Keera","Tulen","Lumburr"
"NS","FastONE","1","27-January-2022","4:00:00 PM","ASLB2022Spring","Indonesia","Omen","Keera","Riktor","Slimz","Alice","14:03","WonderWoman","Elsu","Krixi","Tulen","Taara","Aya","Florentino","Capheny","Violet","1","Laville","Aoi","Annette","Hayate"
"NS","FastONE","1","27-January-2022","4:00:00 PM","ASLB2022Spring","Indonesia","Yena","Aoi","Veres","Hayate","Peura","18:27","Tachi","Slimz","Dirak","Fennik","Riktor","Annette","Aya","Lorion","Kriknak","2","Baldum","Lumburr","Tulen","Florentino"
"ENC","Hertz","2","27-January-2022","5:30:00 PM","ASLB2022Spring","Indonesia","Mina","Amily","Lorion","Slimz","Riktor","13:41","Roxie","Laville","Krixi","Tulen","Veres","Aya","Annette","Liliana","Aoi","1","Keera","Errol","Florentino","Lumburr"
"ENC","Hertz","1","27-January-2022","5:30:00 PM","ASLB2022Spring","Indonesia","Qi","Kriknak","Annette","Laville","Lumburr","16:05","Mina","Moren","Liliana","Keera","Omen","Tachi","Aoi","Hayate","Slimz","2","Errol","Eland'orr","Tulen","Aya"
"ENC","Hertz","2","27-January-2022","5:30:00 PM","ASLB2022Spring","Indonesia","Yena","Errol","Iggy","TheJoker","Omen","15:23","Annette","Hayate","Lorion","Fennik","Amily","Aya","Lumburr","Riktor","Qi","3","Keera","Eland'orr","Florentino","Tulen"
"4th","TP","2","27-January-2022","7:00:00 PM","ASLB2022Spring","Indonesia","Florentino","Eland'orr","Liliana","Laville","Mina","18:28","Lumburr","TheJoker","Lorion","Errol","Qi","Aya","Annette","Slimz","Moren","1","Aoi","Krixi","Tulen","Hayate"
"4th","TP","1","27-January-2022","7:00:00 PM","ASLB2022Spring","Indonesia","Yena","Veres","Tulen","Slimz","Tachi","22:13","WonderWoman","Hayate","Krixi","Nakroth","Riktor","Annette","Eland'orr","Florentino","Keera","2","Lorion","Aoi","Aya","Lumburr"
"4th","TP","1","27-January-2022","7:00:00 PM","ASLB2022Spring","Indonesia","Omen","Paine","Krixi","Hayate","Roxie","14:17","Tachi","Slimz","Liliana","Kriknak","Amily","Annette","Tulen","Florentino","Superman","3","Errol","Aoi","Aya","Lumburr"
"Hertz","4th","1","1-February-2022","4:00:00 PM","ASLB2022Spring","Indonesia","Allain","Tulen","WonderWoman","Capheny","Lumburr","16:17","Tachi","Hayate","Liliana","Aoi","Omen","Florentino","Lorion","Eland'orr","Keera","1","Krixi","Mina","Annette","Aya"
"Hertz","4th","1","1-February-2022","4:00:00 PM","ASLB2022Spring","Indonesia","Qi","Paine","Zata","Laville","Omen","13:19","Alice","Mina","Annette","Eland'orr","Florentino","Aya","Lumburr","TheJoker","Lorion","2","Roxie","Keera","Tachi","Hayate"
"AIW","NS","1","1-February-2022","7:00:00 PM","ASLB2022Spring","Indonesia","Yena","Qi","Lorion","Elsu","WonderWoman","24:51","Krizzix","Slimz","Krixi","Aoi","Florentino","Tulen","Aya","Lumburr","Roxie","1","Nakroth","Kriknak","Annette","Hayate"
"AIW","NS","1","1-February-2022","7:00:00 PM","ASLB2022Spring","Indonesia","Omen","Nakroth","Tulen","Slimz","Roxie","16:58","Lumburr","Celica","Liliana","Keera","Mina","Lorion","WonderWoman","Capheny","Fennik","2","Eland'orr","Laville","Hayate","Aya"
"ENC","AIW","1","2-February-2022","4:00:00 PM","ASLB2022Spring","Indonesia","Mina","Qi","Liliana","Slimz","Lumburr","10:09","Roxie","Elsu","Tulen","Florentino","Omen","Aya","Lorion","Keera","Yena","1","Kriknak","Eland'orr","Hayate","Annette"
"ENC","AIW","2","2-February-2022","4:00:00 PM","ASLB2022Spring","Indonesia","Omen","Veres","Annette","Capheny","Thane","16:05","WonderWoman","Laville","Lorion","Aoi","Tachi","Lumburr","Liliana","Mina","Yena","2","Kriknak","Keera","Hayate","Aya"
