Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28
ADT,ArchA,2,5/7/2022,2:00:00 PM,AOV2022Brasil,Brasil,Amily,Aoi,Raz,Capheny,Tachi,14:29,Lumburr,Laville,Liliana,Zuka,LuBu,Omen,Eland'orr,Yue,Krixi,1,Veres,Florentino,Lorion,Aya,Fadel
ADT,ArchA,2,5/7/2022,2:00:00 PM,AOV2022Brasil,Brasil,Airi,Eland'orr,Zata,TheJoker,Roxie,26:31,Mina,Hayate,Lorion,Keera,Skud,Florentino,Aya,Nakroth,Tulen,2,Zuka,Liliana,Krixi,Omen,Senko
ADT,IMPPH,1,5/7/2022,4:00:00 PM,AOV2022Brasil,Brasil,Yena,Aoi,Krixi,Laville,Tachi,11:26,Thane,Slimz,Lorion,Veres,Airi,Omen,Aya,Mina,Baldum,1,Lumburr,Eland'orr,Hayate,Florentino,Botak
ADT,IMPPH,1,5/7/2022,4:00:00 PM,AOV2022Brasil,Brasil,Zuka,LuBu,Iggy,TheJoker,Baldum,09:13,Lumburr,Tachi,Liliana,Eland'orr,Riktor,Aya,Omen,Keera,Aoi,2,Veres,Nakroth,Florentino,Lorion,XF
ArchA,ADT,2,5/7/2022,5:30:00 PM,AOV2022Brasil,Brasil,Yena,Tulen,Krixi,Violet,WonderWoman,16:09,Lumburr,Laville,Yue,Eland'orr,Qi,Omen,Richter,Skud,LuBu,1,Zuka,Volkath,Lorion,Aya,XF
ArchA,ADT,2,5/7/2022,5:30:00 PM,AOV2022Brasil,Brasil,Allain,Errol,Lorion,Capheny,Zip,15:35,Veres,Slimz,Liliana,Keera,Omen,Aya,Aoi,TheJoker,Roxie,2,Yorn,Tel'Annas,Florentino,Mina,Lcc2
ArchA,ADT,2,5/7/2022,5:30:00 PM,AOV2022Brasil,Brasil,Florentino,Nakroth,Liliana,Laville,Lumburr,16:23,Baldum,Hayate,Tulen,Kriknak,Volkath,Aya,Lorion,Roxie,Superman,3,Tel'Annas,TheJoker,Eland'orr,Omen,ZenShao
CDAX,FSH,1,4/23/2022,7:00:00 PM,AIC2022Europe,Europe,Veres,Skud,Yue,Tel'Annas,Tachi,12:54,Ormarr,Hayate,Iggy,Volkath,Omen,Liliana,Elsu,Baldum,Mina,1,Capheny,Thorne,Florentino,Aya,
CDAX,FSH,1,4/23/2022,7:00:00 PM,AIC2022Europe,Europe,Qi,Xeniel,Krixi,Fennik,Lumburr,14:09,Taara,Elsu,Aya,Skud,Amily,Yue,Liliana,Veres,WonderWoman,2,Thorne,Hayate,Lorion,Florentino,
QLASH,FSH,1,4/23/2022,8:30:00 PM,AIC2022Europe,Europe,Yena,Eland'orr,Liliana,Hayate,Arum,13:48,Xeniel,Thorne,Lauriel,Nakroth,Aya,Omen,Yue,Elsu,Capheny,1,Paine,Aoi,Volkath,Florentino,
QLASH,FSH,1,4/23/2022,8:30:00 PM,AIC2022Europe,Europe,Mina,Paine,Lorion,Slimz,Lumburr,16:33,Gildur,Elsu,Liliana,LuBu,Veres,Omen,Yue,Yena,Airi,2,Laville,Thorne,Aya,Florentino,
HKS,Nova,2,4/24/2022,8:30:00 PM,AIC2022Europe,Europe,Omen,Kriknak,Lorion,Thorne,Veres,10:37,Lumburr,Laville,Liliana,Wukong,Ata,Aya,Hayate,Aoi,Paine,1,Skud,Keera,Florentino,Mina,
HKS,Nova,2,4/24/2022,8:30:00 PM,AIC2022Europe,Europe,Zuka,Volkath,Yue,Wisp,Baldum,10:22,Tachi,Slimz,Kahlii,Aoi,Richter,Liliana,Hayate,Lumburr,Yena,2,Nakroth,Keera,Omen,Aya,
STMN,HKS,2,4/24/2022,10:00:00 PM,AIC2022Europe,Europe,Yena,LuBu,Yue,Hayate,Arum,21:44,Aya,Violet,Raz,Nakroth,Richter,Omen,Liliana,Iggy,Slimz,1,Volkath,Skud,Krixi,Lorion,
