web-scraper-order,web-scraper-start-url,comment,user,Experience time,score,location,Triptype,score1,score2,score3,score4,score5,score6
1646395386-1142,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Our son invited us to join the family in Pattaya Beach as we were travelling through Thailand and were planning to meet up at their home in Bangkok. We happily accepted as this was our first time in Thailand, and had already visited Patong Beach, Koh Phi Phi and Kamala Beach. He booked us into the Amari for the Easter Long Weekend.
We arrived at the hotel on Saturday afternoon and were warmly welcomed. Checkin was professional and courteous and we were soon escorted to our ocean view room on the 17th floor. The room and view did not disappoint. Loved the open concept layout. Bed was one of the best we have slept on. Everything from linens, towels, robes, slippers,  etc. was top notch.
As others have commented on, the breakfast buffet was exceptionally good and the service was outstanding considering how busy it was on this weekend.
We enjoyed the Brazillian feast in the Tavern restaurant that we highly recommend. Excellent selection of meats and shrimp at a very reasonable price. Very good wine selection as well that didn't break the bank.
This hotel deserves the high ranking it has received on Tripadvisor. Will stay here again if the opportunity presents itself for a return to Pattaya Beach.",brianwilson50,??.?.-15,5,"Deep Cove, Canada",Couple,null,null,null,null,null,null
1646395386-977,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"The Hotel Amari Pattaya is the first addresses for an comfortable stay at your Business trip around Pattaya.
I could feel like at home after an stressfully Business day. All staffs are friendly and helpful.
Let’s say thank you to all staffs on this way for the obliging and cooperative way for male the stay unforgettable.",steffen922,??.?.-18,5,Pattaya,Business,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646395386-896,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Amari Pattaya is one if the best hotels in Pattaya for a great family stay. Our room was perfect and the incredible team at Amari ensures all guest are delivered a truly wonderful hospitality experience.  The breakfast at Amaya is an exciting showpiece with live kitchens and chefs cooking to alaminute perfection. The club lounge service is world class. Kudos to Hotel Manager Christophe and his ever so engaged team.
A great stay and would recommend to all international and local guests for a visit when in Pattaya.",Sanjeev K,??.?.-21,5,Bangalore,Family,null,null,null,null,null,null
1646395386-1176,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"My wife and I have just returned from the Amari Garden and wish to write an honest review.On arrival we were greeted by very friendly staff who took our cases to reception,where we were dealt with promptly.We were originally given a garden wing room on 3rd floor,but we were a bit disappointed in it ,a bit dated and tired looking,so we phoned reception asking for an upgrade.Having been given free upgrades in Las Vegas and Dubai,we were disappointed to be told we'd have to pay for the upgrade,some £350 for 10 nights,but we bit the bullet and paid up.We got room 804 in the tower,and wow,what a difference,huge modern room,with double bath,and huge rain shower separate,and enormous bed.All the staff in the hotel were excellent and very efficient and so,so friendly,it was quite humbling,that they were so keen to help.A special mention to the pool bar staff,especially Pancha,the cocktail lady,her name began with T,i think,and also the guy with the two cut fingers,they couldn't do enough for you. We ate at the Mantra twice,and the food and service was first class,right up there with Dubai imo.We also ate at the Tavern by the sea,and all the meals were great,at very good prices.Pattaya was an eye opener,but we found plenty good bars,with live music,or backing tapes to enjoy,and are thinking of returning to this hotel next year.Finally,my wife had an accident coming out the Mantra,where she fell off the kerb,its' a bit dark,and cut her knee,but a manager saw this,and immediately dealt with it,by taking her into restaurant and getting staff to give her first aid,really good public relations,i think the manager guy worked in the Tavern,as he came up to ask how she was,next day.All in all i'd recommend Ocean Tower,as it's a great standard of hotel,and we will almost certainly be back",MrandMrsMcN,??.?.-14,5,scotland,Couple,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646395386-1185,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,We have been staying at Amari Ocean Tower for 8 years every year and sometimes twice a year. It is a very comfortable hotel with delicious buffet breakfast. Rooms are comfortable and big. WE enjoy our 2 to 3 weeks there every year. It is also located at the quiet end of Pattaya Beach and its not at all busy there.,187Lorette,?.?.-14,5,"Melbourne, Australia",Couple,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646395386-900,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"I have been 2 time in hear. I always happiness , Amari serve you for good food with good taste ,  location  is nice  close to sea , department store ,we also have a good sleepy , always meet when we go to pattaya",wannissin,??.?.-21,4,,null,4-Value,5-Rooms,4-Location,4-Cleanliness,4-Service,4-Sleep Quality
1646395386-1109,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"This hotel is located at the very north of beach road pattaya.
If you need to be near walking street and the main centre this hotel is probably not for you.
The ocean and garden Amari hotels are joined but have separate entrances.
The ocean rooms are the same as depicted in the professional photos and are clean and spacious.
The pros...staff, as per thai hospitality are exceptional, the rooms are clean spacious and modern, the hotel allows you access to 2 reasonably large swimming pools, sunbeds are plentiful and the staff around the pool are fast and efficient.
The happy hour mai thais are super strong and buy 1 get 1 free.
The cons...the gym is quite small, however is equipped with lifefitness equipment, there is not a great deal on the hotel door step.
Upgraded for a small fee (4000 baht) to the best room in the hotel for my birthday.
Room 2000, this suite is quite amazing and if you have the cash is like something from a movie, quite amazing.
Would stay in this hotel again if the price was right.
Very little not to like.",Terry M,??.?.-16,4,"Bangkok, Thailand",Couple,4-Value,5-Service,4-Sleep Quality,null,null,null
1646395386-914,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"The hotel is situated in the north of Pattaya where you can find beach and nearby shopping arcades like Central Festival, Terminal 21 within walking distance. the hotel facilities is superb and working in good condition.",Montree S,?.?.-19,5,,Family,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646395386-1086,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"My family & I have just returned from a 2 week stay at the Amari Hotel. This is our second stay and we have already booked up for our 3rd! The hotel is immaculately presented and hotel staff work hard to keep their standards high. Breakfast is delicious and there are ample options to please people from all areas of the world. The ladies who work in the Essence bar were extremely friendly, and would go out of their way to ensure that my children had everything they needed. 
Staff at the 'off site' restaurant were fantastic, again nothing was too much trouble. Had our first 'English Sunday roast' Thai style, and we were not disappointed. Head chef Sean does a pretty amazing job. 
Can't wait to return in October!",Kerryn1981,??.?.-16,5,"Essex, United Kingdom",Family,5-Value,5-Cleanliness,5-Service,null,null,null
1646395386-1112,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"This is our seventh, or is it the eighth, visit. We love this place.  Each time we return we notice another improvement, a further refinement: management keeps it in top shape. But the service is one of the things that sets it apart: unobtrusive but always engaging, friendly and with typical Thai grace and keenness to please. Two improvements stand out: the Horizon Club has made a discernible step in the quality of its cuisine and selection of wines. Secondly, and of great import to this gastronome is the significant improvement in the quality of the food in all the resort's venues: it has always been good but now it is better.  There are deft little touches indicating that the priority is quality.  In particular is the difference in one of my favorite restaurants in all the countries I have visited: The Mantra.  It is one of the main reasons  I return to Amari Orchid.  Such a striking decor!  Now there is a new culinary master guiding it and the rest of the resort.  Shaun has already added more daring, quality and variety to the offerings. I am throughly enjoying his leadership of his skilled team in the kitchens and front of house. It is simply wonderful to be back at Amari Orchid.",vicvladb,??.?.-16,5,"Melbourne, Australia",Couple,null,null,null,null,null,null
