web-scraper-order,web-scraper-start-url,comment,user,Experience time,score,location,Triptype
1640085363-345,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"Found this bar only by hearing the band playing, Eric Clapton - I think! Climbed the staircase to find it,a welcome Oasis from the the trinkets and shopping of the night market",Raze1303,"November 8, 2012",5,"Lightwater, UK",null
1640085363-248,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"Near Night Bazaar with great blues band, great music and atmosphere. Also good service from bar, prices was OK.",48justinbb,"April 20, 2015",4,Vietnam,Apr 2015 • Friends
1640085363-128,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,I purposely hunted this venue having read the reviews and had a fantastic night. Its an interesting location and there were plenty of people to chat to. The live bands were extremely talented. I really recommend this place for a fun night out,Helen W,"June 27, 2016",5,"Nottingham, UK",Jun-16
1640085363-311,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"Second time visiting this bar. Found it last business trip by chance after hearing the blues music waft down from above the night market. Couldnt wiat to return one year later and find it just as good. Superb staff to serve you drinks and the music is superb especially if you like Blues but it caters for varied tastes. I like the way that people appeared, took out their guitars and other varied musical instruments and started to play so line up varies. Your host is a wonderful musician. Charming guy with lots of charisma. I really recommend visiting this place for a few beers and a musical treat.",Davie890,"March 25, 2014",5,"Aberdeen, UK",Mar 2014 • Business
1640085363-166,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"I don't usually listen to this type of music, but I was really impressed and was very happy. I'll definitely visit it again! Very cool place!",Jeanhwei,"December 30, 2015",5,China,Dec 2015 • Friends
1640085363-274,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"Boy and his pals had a right jam and made us feel like the family, Pink Floyd covers were pretty special as was Jimmy Hendrix, we were last to leave I was gutted we only found this gem on our last night, we will be back tho! Cheers guys!",Jaye E,"January 5, 2015",5,"Stockholm, Sweden",null
1640085363-326,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"My expectations were average, especially as the bar is located near the Night Bazaar where you get a lot of tourist traffic. Drink prices are average, waitress serves to your table and there are plenty of seats. I was seriously impressed by the performances and now have marked this a regular spot I will be going back to for live music. Boy- the main act, is playful, entertaining and exceptional on the electric guitar. There were local expats who got up on the stage and sang some covers, which added to the whole experience. Looking around the bar, everyone was mesmerized by his stage presence as he held us all in the palm of his hand. Energetic rock and roll vibes with goosebump-inducing performances, that I'd highly recommend. Lives up to the hype.",Dilsdidit,"November 9, 2013",5,"London, UK",Nov 2013 • Friends
1640085363-218,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"Nice people, good atmosphere, and great music (strongly recommend to go on a Monday, the jamming night!)",Marc L,"June 25, 2015",5,,Jun 2015 • Couples
1640085363-212,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"I went to Boy Blues Bar after reading the recommendations on TA, and I'm so glad I did! It's in the night bazar, on the upper level. The atmosphere was great and the music was fantastic! A must if in Chiang Mai!",Kelly S,"July 10, 2015",5,"Leeds, UK",Jul 2015 • Friends
1640085363-19,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"We came across this place by accident after hearing live blues across the market. We followed the sound and proceeded upstairs to Boy Blues Bar. Great little spot above the market with a decent bar, friendly staff and quality bands that you would have to pay entry to see in the UK. Highly recommend for a beer and a chill.",JerryFoster,"May 29, 2019",5,"London, UK",May 2019 • Couples
1640085363-231,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"My partner and I stumbled across this little mezzanine bar when exploring the night markets. The bar staff are so friendly and are constantly walking around serving you and making you feel comfortable. And oh the music, what an unlikely place to find excellent blues but it was completely amazing! The two bands that played both nights were so well polished and super talented. We were so stoked we came back the following night to watch again and will definitely be back there again when we have a chance. My favourite place in Chiang Mai so far!",Jessica M,"May 23, 2015",5,,null
1640085363-329,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,Wow What great times we had Thanks Boy you really rocked and to all the other Farang (Foreigners) who joined in with Saxes Trumpets and mouth organ really had the place rocking Also to the Ausie singer who calls in to share her fantastic raspy voice you couldnt get any better entertainment and its all free I found the write up in the Jetstar inflight magazine and it lived up to everything and more Im coming Back,IanAustralia2013,"September 22, 2013",5,"Melbourne, Australia",Sep 2013 • Couples
1640085363-317,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,Found this place by accident - despite it being in the middle of the night market we hadn't seen it mentioned in any guides. Sooo glad we found it though! The band are incredibly talented and afer we got chatting to them afterwards we discovered that they are lovely lovely guys. A great chill out spot to have a couple of beers and listen to some fantastic music.,Jen_likes_ukuleles,"February 1, 2014",5,"Dundee, UK",Jun 2013 • Friends
1640085363-121,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"Me and my boyfriend went to Boys Blue on Saturday night and well... What an absolute pleasure!! This place is a hidden gem and was just what you need in Chiang Mai! The bands we brilliant everyone up and dancing , set above the night bazaar market! Make sure you check this out guys you will NOT be disappointed! The bar is closed Sundays.",whiteroseredrose,"July 25, 2016",5,"Leeds, UK",Jul-16
1640085363-148,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"I was looking for a great live music venue to visit during my time in Chiang Mai and stumbled upon Boy Blues Bar on trip advisor. If you love blues and rock'n'roll this is the place to go. Located in a small upstairs section in the Kalare food court/ night bazaar; you will hear this place before you see it. I went there on a Friday and Saturday night and found the Friday to be much better and busier. This was most likely due to the owner himself - Boy, playing with his own band. He was an exceptional guitarist and had an old school blues legend vibe about him. Average priced drinks with table service. Great music. Great vibe. Will definitely be returning next time I'm in Chiang Mai",James E,"March 14, 2016",5,,Mar-16
1640085363-201,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"If you just wish to hang out & chill, and listen to some great music, then this is the place. First time I went, it was just great to be above the markets, cheap drinks, plenty of seating & top tunes. and it's on ALL the time, so it's always the place you can go to chill out! awesome!",scottywade,"July 26, 2015",5,"Brisbane, Australia",Aug 2014 • Solo
1640085363-83,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,Nice spot above Kalar night markets. Good music. Monday open Mike night was great surprise. Seats are very low so not good if you have a bad back. Waitress seemed a bit out of sorts night we went.,Mandy E,"May 8, 2017",4,"Upper Mt Gravatt, Australia",May 2017 • Friends
