web-scraper-order,web-scraper-start-url,comment,user,Experience time,score,location,Triptype,score1,score2,score3,score4,score5,score6,,
1643535515-911,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Room was small and no wardrobe or cabinet or even an arrangement to place the suitcase! We had to place the suitcases on the floor. An upgrade at additional cost was agreed upon for 2 out of 4 days' stay, but they did not provide. There are hundreds of Rooms in Pattaya facing the sea, so if you are paying through your noses, do not take the City View rooms. Not worth it!
Air-conditioning in the room was not cool enough. Shower did not have any pressure. Was just a fad better than a trickle.
Refrigerator in the Room was useless. A Bucket of Ice Cream simply melted overnight. We had to trash it.
Food was generally OK but the In Room Dining was much better with the Chef agreeing to provide out of the Menu.",RaviArora,Date of stay: April 2018,3,"Kolkata (Calcutta), India",Trip type: Traveled as a couple,3-Value,4-Location,4-Service,null,null,null,,
1643535515-801,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"We stayed here during the Songkran holidays.  The hotel was quite crowded.  
Our room was very spacious and clean.  The room cleaning service was quite late due to the many rooms to clean.
Nevertheless, the employees here are always friendly and helpful.
The swimming area is huge and there are always different activities going on.  Very lively area.",Phi Somchai,Date of stay: April 2019,4,"Bangkok, Thailand",Trip type: Traveled with family,null,null,null,null,null,null,,
1643535515-1077,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"This Hotel Pattaya Hotel, so I feel very comfortable! From the hotel to the reception room service, the attitude is very good, next to Pattaya tourism, will still continue to choose the hard rock hotel!",zhoutianh,Date of stay: April 2017,5,Sichuan ,Trip type: Traveled as a couple,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643535515-1113,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,Great hotel location is awesome and the pool area is second to none. Rooms were surprisingly quiet and the staff was very helpful. Played in a golf tournament and the event dinner was at the hotel and it was all done very well.,Myron Keith M,Date of stay: April 2017,5,"Winnipeg, Canada ",Trip type: Traveled solo,4-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643535515-952,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Great location close to many shops and eateries.
Everything for a family is available in the resort.
Service friendly, helpful.
Room was a bit smaller than expected, but had a small balcony.
Pool area perfect for kids and families.",FizzicJim,Date of stay: March 2018,4,"Doha, Qatar",Trip type: Traveled with family,null,null,null,null,null,null,,
1643535515-1253,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"This was the second time I'd stayed at the Hard Rock. All things considered, it is a good hotel for holiday and business travellers alike. Located at the quieter end of Beach Road, it is within a 20 minute walk from the lively end of Pattaya and is nice and quiet.
The reception area is quite large with an abundance of seating, and both check-in and departure were without fuss. I stayed in a Club Executive room and was able to use the lounge on that floor which served complimentary drinks and snacks. It proved to be a very good venue to hold an informal business discussion away from the crowds.
Food was good enough without being exceptional. There is a Hard Rock Cafe on the ground floor which faces onto Beach Road.
The swimming pool is quite big and has a fair amount of room for sunbathing although the beach is literally across the road.
My bedroom was a reasonable size with a large bed and I had a good view of the sea.
Overall, I would say this place is pretty good value for money.",Celtic_traveller165,Date of stay: October 2015,4,"Newport, United Kingdom",Trip type: Traveled on business,4-Cleanliness,5-Service,4-Sleep Quality,null,null,null,,
1643535515-793,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Stayed at Hard Rock Hotel for the first time and the first time to Pattaya. The week we were there, there was a Pattaya Seafood Festival along the beach across Hard Rock Hotel. It was awesome as food is everywhere!
This hotel is fully recommended for its’ professional service rendered by the staff, amazing in-house pool, coolest souvenir shops, The Rock Shop, and not to mention the Rock Spa. Everything was value for money.
Easy access to the beach and surrounding bars and malls! Definitely will come back again!",quiklooper,Date of stay: May 2019,5,"Kuching, Malaysia",Trip type: Traveled as a couple,null,null,null,null,null,null,,
1643535515-991,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"one problem,,,,,,before  was   super   all room balcony ,,,we falang love balcony ,,,just look around  now    all big hotel have  many room balcony ,,, but hard rock  owners  decided  to go    with less balcony ,,its  too  bad ,",louis m,Date of stay: March 2017,3,Canada,Trip type: Traveled as a couple,2-Value,4-Rooms,4-Location,5-Cleanliness,4-Service,4-Sleep Quality,,
1643535515-806,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Everything from initial welcome, to final goodbye was as good as anywhere i have stayed.
Pool area, spa area, and bar were excellent
Great value 
I need to put another few lines in, but i cant really add to the above",Curiosity67029409053,Date of stay: April 2019,5, ,Trip type: Traveled with friends,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,4-Sleep Quality,,
1643535515-1287,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"This was my second time.stayed for 4 nights. amazing hotel. close to everything. ac in my room 1035 did not work but the staff was good enough to change the room immediately to 935 within minutes. the receptionist GIFT is extremely helpful and nice. the hard rock cafe in the hotel premises is perfect as it is so hot to walk out these days. at the cafe food is really good and have a choice(salads, steak,burgers) . everyone at the hotel is helpful. nice pool. overall great hotel and will definitely go back.",dilshan d,Date of stay: April 2015,4,"Colombo, Sri Lanka",Trip type: Traveled solo,4-Rooms,5-Location,5-Service,null,null,null,,
